"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping"
"Timing.repeat.bounds[x]:boundsPeriod.id","Timing.repeat.bounds[x].id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Timing.repeat.bounds[x]:boundsPeriod.extension","Timing.repeat.bounds[x].extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Timing.repeat.bounds[x]:boundsPeriod.start","Timing.repeat.bounds[x].start","","","",0,1,"","","Y","dateTime {[]} {[]}
","Zeitraum der Einnahme: Start.","The start of the period. The boundary is inclusive.","If the low element is missing, the meaning is that the low boundary is not known.","","","","","","","","",,,,,"",,,,"Period.start",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","DR.1","./low"
"Timing.repeat.bounds[x]:boundsPeriod.end","Timing.repeat.bounds[x].end","","","",0,1,"","","Y","dateTime {[]} {[]}
","Zeitraum der Einnahme: Ende.","The end of the period. If the end of the period is missing, it means no end was known or planned at the time the instance was created. The start may be in the past, and the end date in the future, which means that period is expected/planned to end at that time.","The high value includes any matching date/time. i.e. 2012-02-03T10:00:00 is in a period that has an end value of 2012-02-03.","","","If the end of the period is missing, it means that the period is ongoing","","","","","",,,,,"",,,,"Period.end",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","DR.2","./high"
"Timing.repeat.count","Timing.repeat.count","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Number of times to repeat","A total count of the desired number of repetitions across the duration of the entire timing specification. If countMax is present, this element indicates the lower bound of the allowed range of count values.","If you have both bounds and count, then this should be understood as within the bounds period, until count times happens.","Repetitions may be limited by end time or total occurrences.","","","","","","","",,,,,"",,,,"Timing.repeat.count",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.count"
"Timing.repeat.countMax","Timing.repeat.countMax","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Maximum number of times to repeat","If present, indicates that the count is a range - so to perform the action between [count] and [countMax] times.","","","","","","","","","",,,,,"",,,,"Timing.repeat.countMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.count"
"Timing.repeat.duration","Timing.repeat.duration","","","",0,1,"","","Y","decimal {[]} {[]}
","How long when it happens","How long this thing happens for when it happens. If durationMax is present, this element indicates the lower bound of the allowed range of the duration.","For some events the duration is part of the definition of the event (e.g. IV infusions, where the duration is implicit in the specified quantity and rate). For others, it's part of the timing specification (e.g. exercise).","Some activities are not instantaneous and need to be maintained for a period of time.","","","","","","","",,,,,"",,,,"Timing.repeat.duration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Timing.repeat.durationMax","Timing.repeat.durationMax","","","",0,1,"","","Y","decimal {[]} {[]}
","How long when it happens (Max)","If present, indicates that the duration is a range - so to perform the action between [duration] and [durationMax] time length.","For some events the duration is part of the definition of the event (e.g. IV infusions, where the duration is implicit in the specified quantity and rate). For others, it's part of the timing specification (e.g. exercise).","Some activities are not instantaneous and need to be maintained for a period of time.","","","","","","","",,,,,"",,,,"Timing.repeat.durationMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Timing.repeat.durationUnit","Timing.repeat.durationUnit","","","",0,1,"","","Y","code {[]} {[]}
","s | min | h | d | wk | mo | a - unit of time (UCUM)","The units of time for the duration, in UCUM units.","","","","","","","","","",,"required","A unit of time (units from UCUM).","http://hl7.org/fhir/ValueSet/units-of-time|4.0.1","",,,,"Timing.repeat.durationUnit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase.unit"
"Timing.repeat.frequency","Timing.repeat.frequency","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Häufigkeit der Einnahme, z.B. 3 mal täglich.","The number of times to repeat the action within the specified period. If frequencyMax is present, this element indicates the lower bound of the allowed range of the frequency.","","","","If no frequency is stated, the assumption is that the event occurs once per period, but systems SHOULD always be specific about this","","","","","",,,,,"",,,,"Timing.repeat.frequency",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Timing.repeat.frequencyMax","Timing.repeat.frequencyMax","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Event occurs up to frequencyMax times per period","If present, indicates that the frequency is a range - so to repeat between [frequency] and [frequencyMax] times within the period or period range.","","","","","","","","","",,,,,"",,,,"Timing.repeat.frequencyMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Timing.repeat.period","Timing.repeat.period","","","",0,1,"Y","","Y","decimal {[]} {[]}
","Intervall der Einnahme, z.B. alle 4 Stunden.","Indicates the duration of time over which repetitions are to occur; e.g. to express ""3 times per day"", 3 would be the frequency and ""1 day"" would be the period. If periodMax is present, this element indicates the lower bound of the allowed range of the period length.","","","","","","","","","",,,,,"",,,,"Timing.repeat.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Timing.repeat.periodMax","Timing.repeat.periodMax","","","",0,1,"","","Y","decimal {[]} {[]}
","Upper limit of period (3-4 hours)","If present, indicates that the period is a range from [period] to [periodMax], allowing expressing concepts such as ""do this once every 3-5 days.","","","","","","","","","",,,,,"",,,,"Timing.repeat.periodMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Timing.repeat.periodUnit","Timing.repeat.periodUnit","","","",0,1,"","","Y","code {[]} {[]}
","Einheit des Intervalls der Einnahme, z.B. h für Stunden, d für Tage.","The units of time for the period in UCUM units.","","","","","","","","","",,"required","","https://termgit.elga.gv.at/ValueSet/elga-medikationfrequenz","",,,,"Timing.repeat.periodUnit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase.unit"
"Timing.repeat.dayOfWeek","Timing.repeat.dayOfWeek","","","",0,*,"","","Y","code {[]} {[]}
","mon | tue | wed | thu | fri | sat | sun","If one or more days of week is provided, then the action happens only on the specified day(s).","If no days are specified, the action is assumed to happen every day as otherwise specified. The elements frequency and period cannot be used as well as dayOfWeek.","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/days-of-week|4.0.1","",,,,"Timing.repeat.dayOfWeek",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Timing.repeat.timeOfDay","Timing.repeat.timeOfDay","","","",0,*,"","","Y","time {[]} {[]}
","Time of day for action","Specified time of day for action to take place.","When time of day is specified, it is inferred that the action happens every day (as filtered by dayofWeek) on the specified times. The elements when, frequency and period cannot be used as well as timeOfDay.","","","","","","","","",,,,,"",,,,"Timing.repeat.timeOfDay",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Timing.repeat.when","Timing.repeat.when","","","",0,*,"Y","","Y","code {[]} {[]}
","Code for time period of occurrence","An approximate time period during the day, potentially linked to an event of daily living that indicates when the action should occur.","When more than one event is listed, the event is tied to the union of the specified events.","Timings are frequently determined by occurrences such as waking, eating and sleep.","","","","","","","",,"required","","https://termgit.elga.gv.at/ValueSet/elga-einnahmezeitpunkte","",,,,"Timing.repeat.when",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","EIVL.event"
"Timing.repeat.offset","Timing.repeat.offset","","","",0,1,"Y","","Y","unsignedInt {[]} {[]}
","Minutes from event (before or after)","The number of minutes from the event. If the event code does not indicate whether the minutes is before or after the event, then the offset is assumed to be after the event.","","","","","","","","","",,,,,"",,,,"Timing.repeat.offset",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","EIVL.offset"
"Timing.code","Timing.code","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","BID | TID | QID | AM | PM | QD | QOD | +","A code for the timing schedule (or just text in code.text). Some codes such as BID are ubiquitous, but many institutions define their own additional codes. If a code is provided, the code is understood to be a complete statement of whatever is specified in the structured timing data, and either the code or the data may be used to interpret the Timing, with the exception that .repeat.bounds still applies over the code (and is not contained in the code).","BID etc. are defined as 'at institutionally specified times'. For example, an institution may choose that BID is ""always at 7am and 6pm"".  If it is inappropriate for this choice to be made, the code BID should not be used. Instead, a distinct organization-specific code should be used in place of the HL7-defined BID code and/or a structured representation should be used (in this case, specifying the two event times).","","","","","","","","",,"preferred","Code for a known / defined timing pattern.","http://hl7.org/fhir/ValueSet/timing-abbreviation|4.0.1","",,,,"Timing.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QSC.code"
