URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/request-intent,5.0.0,draft,"2.16.840.1.113883.4.642.3.113",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","StructureDefinition/at-messaging-communication-request","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/request-priority,5.0.0,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","StructureDefinition/at-messaging-communication-request,StructureDefinition/at-messaging-task,StructureDefinition/at-messaging-communication","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/request-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.111",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","StructureDefinition/at-messaging-communication-request","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/response-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.367,2.16.840.1.113883.4.642.2.203,2.16.840.1.113883.4.642.3.380",ResponseType,Response Type,"The kind of response to a message.","StructureDefinition/at-messaging-message-header","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/search-entry-mode,5.0.0,active,"2.16.840.1.113883.4.642.2.328,2.16.840.1.113883.4.642.3.622,2.16.840.1.113883.4.642.3.614",SearchEntryMode,Search Entry Mode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","StructureDefinition/at-messaging-bundle","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/task-code,5.0.0,active,"2.16.840.1.113883.4.642.3.1396",TaskCode,Task Codes,"Codes indicating the type of action that is expected to be performed","StructureDefinition/at-messaging-task","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/task-intent,5.0.0,draft,"2.16.840.1.113883.4.642.3.1240",TaskIntent,Task Intent,"Distinguishes whether the task is a proposal, plan or full order.","StructureDefinition/at-messaging-task","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/task-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.773,2.16.840.1.113883.4.642.3.790",TaskStatus,Task Status,"The current status of the task.","StructureDefinition/at-messaging-task","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/task-status-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.3185",TaskStatusReason,Task Status Reason,"The current status reason of the task.","StructureDefinition/at-messaging-task","hl7.fhir.r5.core"
http://terminology.hl7.org/ValueSet/v3-ActReason,3.0.0,active,,ActReason,v3 Code System ActReason," A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.  Examples:  Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","StructureDefinition/at-messaging-communication-request","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ParticipationMode,3.0.0,active,"2.16.840.1.113883.1.11.16543",ParticipationMode,ParticipationMode,"Identifies the primary means by which an Entity participates in an Act.","StructureDefinition/at-messaging-communication-request,StructureDefinition/at-messaging-communication","THO (V3)"
