"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"VitalSigns-ips","VitalSigns-ips","","","",0,*,"","","","null {[]} {[]}
","Vital Signs (IPS)","Abbildung der Datenfelder, die für den Entwurf der Datenspezifikation des Rahmenkonzepts Integrierte Versorgung Diabetes Mellitus Typ 2 erforderlich sind, auf dem des IPS-Modul ""Vital Signs"".

Refer to the **[mapping from the logical model of diabetes to the logical model based on the International Patient Summary (IPS)](mappings.html)** in order to get an idea how the IPS relates to diabetes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VitalSigns-ips.code","VitalSigns-ips.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Coded Responses from C-CDA Vital Sign Results","Coded Responses from C-CDA Vital Sign Results","","","","","","","","","",,,,,"",,,,"VitalSigns-ips.code",1,1,"",""
"VitalSigns-ips.subject","VitalSigns-ips.subject","","","",1,1,"","","","https://diab.iv.elga.gv.at/StructureDefinition/Subject-ips {[]} {[]}
","Who and/or what the observation is about","Who and/or what the observation is about","","","","","","","","","",,,,,"",,,,"VitalSigns-ips.subject",1,1,"",""
"VitalSigns-ips.performer","VitalSigns-ips.performer","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","Who is responsible for the observation","Who is responsible for the observation","","","","","","","","","",,,,,"",,,,"VitalSigns-ips.performer",0,*,"",""
"VitalSigns-ips.value[x]","VitalSigns-ips.value[x]","","","",0,1,"","","","Quantity {[]} {[]}
CodeableConcept {[]} {[]}string {[]} {[]}boolean {[]} {[]}integer {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}SampledData {[]} {[]}time {[]} {[]}dateTime {[]} {[]}Period {[]} {[]}","Vital Signs value are recorded using the Quantity data type. For supporting observations such as Cuff size could use other datatypes such as CodeableConcept.","Vital Signs value are recorded using the Quantity data type. For supporting observations such as Cuff size could use other datatypes such as CodeableConcept.","","","","","","","","","",,,,,"",,,,"VitalSigns-ips.value[x]",0,1,"",""
